Unit vs. Tag,soldier,dog,spearman,thief,rifleman,airtrooper,wagon,mage,archer,knight,ballista,trebuchet,giant,balloon,harpy,witch,dragon,merman,frog,caravel,travelboat,turtle,harpoonship,kraken,warship,structure,commander,fortified_city,villager,golem
soldier,0.55,0.45,0.35,0.95,0.65,0.6,0.55,0.55,0.65,0.15,0.55,0.55,0.05,0,0,0,0,0.55,0.35,0.55,0.4,0.25,0.4,0.2,0.25,0.35,0.1,0.25,0.65,0.05
dog,0.75,0.65,0.45,1.05,1.1,0.35,0.45,0.55,0.75,0.1,0.45,0.45,0.05,0,0,0,0,0.75,0.45,0.5,0.3,0.2,0.3,0.15,0.05,0.2,0.15,0.1,0.75,0.05
spearman,0.75,0.8,0.55,1.15,0.85,0.95,0.65,0.65,0.7,0.7,0.65,0.65,0.1,0,0,0,0,0.75,0.55,0.6,0.45,0.3,0.45,0.25,0.25,0.5,0.15,0.35,0.85,0.1
thief,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rifleman,0.75,0.1,0.65,0.75,0.55,0.25,0.05,0.65,0.55,0.05,0.05,0.05,0.05,0,0,0,0,0.75,0.55,0.75,0.55,0.45,0.55,0.3,0.15,0.05,0.05,0.05,1.2,0.05
airtrooper,0.45,0.55,0.35,0.95,0.75,0.55,0.65,0.55,0.75,0.6,0.65,0.65,0.2,0,0,0,0,0.45,0.25,0.5,0.35,0.2,0.35,0.15,0.15,0.3,0.1,0.1,0.65,0.05
wagon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mage,0.65,0.55,0.45,1.05,0.75,0.45,0.55,0.35,0.85,0.3,0.55,0.55,0.2,1,1.4,1.3,0.8,1.15,0.85,1.15,0.85,0.75,0.85,0.6,0.45,0.35,0.15,0.25,1,0.05
archer,0.7,0.75,0.6,0.7,0.8,0.45,0.25,0.75,0.65,0.35,0.25,0.25,0.1,0.2,0.3,0.2,0.2,0.7,0.55,0.7,0.55,0.45,0.55,0.3,0.25,0.2,0.05,0.15,0.7,0.05
knight,0.9,1.2,0.45,1.15,1,0.8,0.85,1.1,1,0.55,0.85,0.85,0.25,0,0,0,0,0.75,0.55,0.6,0.45,0.3,0.45,0.25,0.25,0.65,0.25,0.5,0.9,0.15
ballista,0.4,0.5,0.25,0.4,0.5,0.3,0.15,0.4,0.3,0.25,0.15,0.15,0.1,1.1,1.3,0.95,0.85,0.4,0.25,0.35,0.3,0.2,0.3,0.15,0.2,0.3,0.1,0.2,0.4,0.05
trebuchet,1,1.1,0.75,1,1.1,0.85,0.7,0.9,1.2,0.8,0.85,0.85,0.55,0,0,0,0,1,0.75,1,0.85,0.65,0.85,0.55,0.75,0.85,0.25,0.65,1,0.25
giant,1.3,1.5,1,1.3,1.4,1.15,0.75,1.1,1.5,0.85,1.15,1.15,0.45,0,0,0,0,1.3,1,1.35,1.05,1,1.05,0.75,0.75,0.85,0.35,0.65,1.3,0.15
balloon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harpy,0.65,0.55,0.45,0.65,0.75,0.85,0.35,0.25,0.65,0.75,0.35,0.55,0.1,0.45,0.55,0.25,0.3,0.65,0.45,0.7,0.55,0.35,0.4,0.2,0.25,0.35,0.15,0.35,0.65,0.05
witch,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6,0.35,0.5,0,0,0,0,0,0,0,0,0,0.2,0,0,0
dragon,1.2,1.5,1.2,1.2,1.3,1.2,0.8,0.65,1.4,1,1.1,1.1,0.65,0.4,0.25,0.15,0.35,1.2,0.95,1.45,1.2,0.75,0.7,0.55,0.9,0.65,0.25,0.45,1.2,0.3
merman,0.35,0.45,0.25,0.45,0.45,0.2,0.2,0.25,0.35,0.15,0.2,0.2,0.05,0,0,0,0,0.3,0.25,0.35,0.2,0.2,0.2,0.1,0.05,0.1,0.05,0.1,0.35,0.05
frog,0.7,0.65,0.55,1.05,0.85,0.55,0.45,0.45,0.7,0.35,0.45,0.45,0.15,0,0,0,0,0.65,0.55,0.65,0.45,0.4,0.45,0.25,0.25,0.55,0.15,0.2,0.85,0.05
caravel,0.45,0.45,0.35,0.45,0.45,0.45,0.65,0.3,0.45,0.15,0.65,0.65,0.15,0,0,0,0,0.35,0.25,0.55,0.75,0.15,0.75,0.05,0.55,0.65,0.15,0.5,0.5,0.05
travelboat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
turtle,0.85,0.75,0.55,1.1,0.8,0.6,0.3,0.45,0.6,0.25,0.3,0.3,0.1,0,0,0,0,1,0.75,1.2,0.75,0.55,0.65,0.35,0.55,0.35,0.2,0,0.65,0.05
harpoonship,0.25,0.3,0.2,0.15,0.25,0.15,0.1,0.15,0.2,0.15,0.05,0.05,0.05,0.75,1.1,0.6,0.7,0.25,0.3,0.2,0.15,0.35,0.15,0.4,0.05,0.2,0.05,0.1,0.3,0.05
kraken,0.45,0.55,0.35,0.45,0.45,0.45,0.35,0.3,0.45,0.25,0.35,0.35,0.15,0,0,0,0,0.95,0.75,1.25,0.95,0.55,0.85,0.35,0.75,0.2,0.2,0.1,0.65,0.05
warship,1,1.1,0.75,1,1.1,0.85,0.85,0.7,1.1,0.7,0.85,0.85,0.55,0,0,0,0,0.85,0.65,0.85,0.8,0.3,0.8,0.25,0.55,0.65,0.25,0.35,1,0.25
garrison,0.55,0.65,0.55,0.3,0.65,0.45,0.25,0.65,0.55,0.25,0.25,0.25,0.1,0.2,0.55,0.25,0.15,0.55,0.35,0.55,0.2,0.45,0.2,0.25,0.2,0.2,0.1,0,0.3,0.15
commander,1.15,1.15,0.75,1.15,1.05,1.05,0.85,0.8,1.3,0.6,0.85,0.85,0.45,0.55,0.9,0.7,0.45,0.85,0.65,0.95,0.75,0.55,0.75,0.45,0.55,0.7,0.4,0.7,0.95,0.2
fortified_garrison,0.55,0.65,0.55,0.3,0.65,0.45,0.25,0.65,0.55,0.25,0.25,0.25,0.1,0.2,0.55,0.25,0.15,0.55,0.35,0.55,0.2,0.45,0.2,0.25,0.2,0.2,0.1,0,0.3,0.15
fortified_water_city,0.55,0.65,0.55,0.3,0.65,0.45,0.25,0.65,0.55,0.25,0.25,0.25,0.1,0.2,0.55,0.25,0.15,0.55,0.35,0.55,0.2,0.45,0.2,0.25,0.2,0.2,0.1,0,0.3,0.15
golem_unit,1.9,1.95,1.4,1.85,2.05,1.6,1.2,1.4,1.75,0.95,1.2,1.2,0.45,0.8,1.15,0.75,0.55,1.35,1.1,1.45,0.75,0.8,0.75,0.55,0.9,0.9,0.4,0.65,0.9,0.35
